Generated on 10/26/2019 22:32:39

----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","N/A email","16","9","[18, 0, 12, 10, 5]"
"N/A name","N/A email","16","10","[19, 14, 18, 1, 10]"
"N/A name","N/A email","18","12","[18, 12, 0, 9, 1]"
"N/A name","N/A email","17","11","[18, 0, 9, 16, 19]"
"N/A name","N/A email","16","9","[18, 8, 16, 1, 9]"
"N/A name","N/A email","18","11","[18, 1, 5, 8, 16]"
"N/A name","N/A email","14","9","[18, 4, 1, 19, 14]"
"N/A name","N/A email","17","11","[14, 19, 10, 18, 0]"
"N/A name","N/A email","16","10","[10, 18, 16, 8, 13]"
"N/A name","N/A email","16","9","[11, 18, 10, 1, 7]"
"N/A name","N/A email","15","9","[17, 18, 10, 11, 9]"
"N/A name","N/A email","17","10","[10, 8, 5, 18, 11]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","19","18","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","18","11","[13, 19, 16, 8, 10]"
"N/A name","N/A email","18","11","[0, 10, 19, 16, 8]"
"N/A name","N/A email","19","12","[19, 16, 0, 8, 11]"
"N/A name","N/A email","18","11","[19, 4, 8, 16, 5]"
"N/A name","N/A email","19","12","[1, 19, 14, 0, 9]"
"N/A name","N/A email","18","12","[19, 9, 0, 10, 11]"
"N/A name","N/A email","18","11","[19, 17, 0, 18, 14]"
"N/A name","N/A email","18","12","[19, 5, 1, 16, 0]"
"N/A name","N/A email","18","12","[19, 11, 14, 17, 8]"
"N/A name","N/A email","18","12","[19, 12, 2, 1, 9]"
"N/A name","N/A email","19","12","[19, 0, 12, 5, 16]"
----------------------------------------------------------------------------------------------------------------------------------------
